#空格简
b_	所以
dvxp	此起彼落
krmv	目力
hsxn	谭嗣同
mxgi	钢水
tvvk	随想
lhvc	胯下之辱
fmkw	一钱不值
dfxf	种豆得豆
fhmf	万事通
ggkk	滴水成冰
rbqi	赤金
twtw	阿猫阿狗
gklm	洋务
nffg	年少无知
lrgd	脚注
nkhd	粗疏
mfml	锁钥
kyvm	饭桶
lfmq	叔公
dhsl	打昏
vxfp	想得开
wrtl	毛裤
dkdb	租税
nyhs	笙歌
ltnc	自寻烦恼
gglj	江湖骗子
lsml	七手八脚
ywdd	褒义
rjsi	旧习
ykpw	衣不蔽体
lpqs	祝英台
ytkm	收回成命
kjxs	春宫
mlkf	放毒
gnlk	酒糟鼻
ktlr	二踢脚
bbwb	蜕化
rlyi	坏东西
lcjy	处暑
fycp	无怪
hbxo	费工
vtqj	畏罪
yhnh	龙灯
tntm	囫囵
lysc	顿号
xspg	寥落
wksk	传看
ddmt	热键
ftkx	当差
ytkj	颤音
kxjj	睡熟
mhfj	人丁兴旺
pmhk	恭请
xsvx	肉中刺
fglp	求神
jkwl	子代
rkrh	幸甚
vnth	构陷
dckh	外乡
pxph	双宿双飞
rvtm	志在四方
xpyt	寒颤
wphf	凤冠
vwyl	身体发肤
dggt	硬邦邦
mcwv	锥体
kknu	丝竹
wvwy	偎依
rpql	贤能
yfkn	言无不尽
jppy	照葫芦画瓢
wdkb	风蚀
dhqe	称臣
vfkh	本乡
dbdr	护持
vcvu	朽木
dlnk	矿层
kstg	辑录
jclg	悲切
ymmq	老公公
jfnb	暖炉
blbp	蚂蟥
pnlw	蔚然
klfj	绕远
cphm	怪论
nhlm	灯座
fpyx	媒质
lhsq	脆响
hkdm	军龄
khsd	馋嘴
jfmv	量力
pbny	芦笙
sjsn	吹牛皮
qryq	罢市
dsbh	把兄弟
kshh	不才
wvss	奔走呼号
kmnt	轻烟
tvwm	随俗
jhjq	孔孟
vjth	查寻
ncpc	火罐
gjcj	淳厚
sdsv	史迹
fdfu	烈女
cvkf	心术不正
klgd	麦浪
klsh	绕弯
lsdd	白热
lcfw	脑瓜
kqfc	云雀
ydch	言多必失
rcvn	志愿兵
tjdl	因果报应
tggh	阴沉沉
fvfh	天兵天将
ggsw	刻骨
ndnd	粼粼
rhvj	城下之盟
pyyj	著者
lbrj	胖墩
fxjk	婶子
pkwk	薪俸
ddvm	稀松
fxwk	无穷大
dbpj	报幕
cjhh	文才
bfkd	卫戍
npnv	烘箱
hhsv	弥留
vjyc	查考
dkmf	拉锁
fdkf	歹毒
blfw	首恶
xxlw	窝囊废
djkj	为时不晚
bfmq	师公
kvkp	连缀
gxfx	贻害无穷
qhgy	罚酒
mffm	余兴
jvjn	阑珊
flkc	常备不懈
kmxl	冷寂
gfkm	沙眼
tlmn	降旗
wjhh	狂乱
pwkv	电位
wjkx	猩红
xkgg	窥测
xmlq	内胎
cwyq	厌弃
lpdb	遮拦
syjr	叫门
snyf	嗣后
jcsl	晨昏
xvhf	宾语
svwj	哈巴狗
pchr	散文诗
knsj	冰雪聪明
kxkg	纲纪
vhye	走读生
fnfn	姑嫂
fltv	救亡图存
mgkm	创痛
lknn	祖居
gftc	添补
jyth	星团
whsf	付印
sjdy	逞凶
bjkk	蛛丝
qghh	金汤
knpp	冰糖葫芦
fdlr	烈马
dfjp	抚弄
jcst	长啸
mhdf	铁砂
lxvf	上宾
gprm	油坊
flcs	万马齐喑
tfxf	陋室
cjlb	文明礼貌
ngpk	包藏
klgt	青帮
rwwf	虚夸
syng	留言簿
yjbm	教益
djxr	担待
btrq	归去
hhbo	书虫
fxkl	无往不胜
ggnd	刀耕火种
cvhf	世界语
pdkt	草绿
kbvf	进兵
dgmm	推己及人
kytl	纠合
jckm	斑痕
sbbl	叩首
mggp	分洪
jpwv	旱獭
ktxm	表功
jkkr	子目
fsvx	无耻之徒
jhtl	闭路
tlgn	阴沟
kscx	羞愤
wbkl	化冻
glqs	祭台
fpcy	奴性
flga	正切
hhsn	书皮
vqwt	雄健
jwjl	显明
pfph	菜蔬
yqhk	充军
gjly	温驯
bclm	雅座
thhq	寻衅
jkff	时不再来
gggj	水汪汪
vpqe	权臣
yywd	醉态
mmkc	人力车
ckdl	唇红齿白
khnw	绝笔
rcph	坟茔
gfsf	淫乐
gpgs	水藻
dwlw	颓然
pgck	薄情
dlsg	勤务员
mdtk	三陪
bkhc	誊写
ckwm	心狠
pckv	观世音
rdnt	土拨鼠
pkle	某月
blvx	剪枝
sqvm	吊桶
gdkj	注音
ycth	发愤图强
wnjn	似笑非笑
rylb	坑骗
skyj	喊醒
ldfd	臭名远扬
pmds	芳名
lhgr	礼法
ktnf	素数
kvdf	痴男怨女
tjvd	国术
spjn	变易
ymkk	出人意表
pbnp	平展
hglm	刮脸
mxmx	钢锭
bgrh	蚌壳
ljlj	胆魄
jpvp	弄权
nydl	卸磨杀驴
ddmd	义父
pbhr	平装
mkdl	人头税
lwlw	腐臭
wmmf	狠命
dcvk	推想
nyck	丹心
mfkm	斜眼
vyfn	有教无类
ksky	缄口不言
wrff	大而无当
vmkr	极目
lvcn	追悔
kfnn	目光炯炯
bvxj	养兵千日
rnkw	临头
kfxx	饯行
kjvl	凉棚
pwlx	花腔
ytdb	禀报
tlgy	陈酒
xwml	寄放
dcyd	推磨
vply	树胶
ffdr	学无止境
fnjk	姑子
xtck	千回百转
wyfs	催逼
ddtb	垫圈
vxkx	枣红
dyft	科教兴国
lvll	祈望
sxkj	器宇轩昂
rnsn	去粗取精
kkbo	瞌睡虫
sjfn	兄嫂
fhsw	恶语中伤
pjpg	菲薄
pgwv	落体
qwlb	参禅
fjwj	元曲
ntsd	烟嘴
ktxm	姿容
gkkx	清规戒律
jbws	昆仲
qcvj	卧榻
yhlj	龙胆
wklp	猜度
jjhk	敦请
djsv	提留
nxgs	管家婆
vyhm	概率论
phqj	营帐
dfdy	搅扰
kfhr	线装
wwvf	伏兵
htwj	急件
lrtr	马褂
pwbx	花鼓
kygn	统购
snnd	皮尺
ckpg	情由
kfwm	线段
kjck	春心
wnkw	伙夫
jcls	斑白
tljj	阴间
fnyp	妙笔生花
sdxn	史官
gggn	湿漉漉
dgtl	招降
mgdj	岔气
gdsv	浪迹
gygx	滂沱
ltme	庸人
jmvf	珍本
pykm	鸡眼
xgfj	空洞无物
xnhk	官军
cyck	忧惧
qwhd	参议
hsxk	憨直
fwfd	姨娘
mlvr	人各有志
xnpl	甲胄
rlyb	土皇帝
fwrj	天壤
nmwj	类人猿
fshf	絮语
xpph	寒带
nyvr	丹桂
dvlm	杂务
thww	隐伏
lbjf	东半球
ggdh	混水摸鱼
pgng	落雨
fwwn	天狗
rkme	虞美人
hhvf	话本
hgsc	负号
jykk	告老还乡
jffs	暖融融
yqwm	市侩
kngr	约法
ksfl	不肖
ptcb	欢悦
ssyq	翠鸟
svxl	留客
ddkr	势利眼
dymf	抗命
ksnw	部类
glgd	激浪
nxkg	数得着
ydht	山系
vjxd	查究
xmxp	径赛
kwlg	表达式
phkh	著书立说
fxyx	丽质
dggc	招贴
pkpl	莲蓬
dbwb	磁化
ktvb	软梯
wkkm	传经
wbvw	太师椅
fhfh	一张一弛
mwph	分化瓦解
hknk	过眼烟云
ncln	怎的
dchl	推让
mnlv	锯条
sysp	嘀嗒
sphf	呓语
nwhn	笔谈
vlxj	有福同享
ywpd	夜叉
cqfv	文韬武略
nhns	断句
mhdd	铁石
wvyp	大权旁落
tjpb	阳平
vwgm	机耕
blls	道白
fdtj	残阳
wlpk	信马由缰
fgvk	见财起意
frvf	母本
stst	啊哈
knmg	约分
lrnp	马粪
jsky	闭口不言
ntkf	雪线
grrh	法场
wkfl	仁政
dvkp	杀戒
vkcy	相离
wjxm	曲径
klyx	细胞质
dcwk	秘传
fgfh	如泣如诉
cpcp	怪怪
qhhb	黑乎乎
xymk	穿衣镜
xfkk	定睛
xfdd	同义
djxj	排字
kcww	盖世太保
hkxm	军容
kqtn	魂灵
lpme	庶人
krxh	缆索
dpdd	主观主义
xsxf	宫室
bcjf	雅量
wkfy	大姓
gdkx	游移不定
pfdv	芜杂
kmgs	眼波
kqnn	云霞
hfhn	解调
nkrc	故纸堆
gfqj	活受罪
kffn	目光如炬
nkwk	火头
gknn	清册
xyfk	同出一辙
yphh	反话
whbj	似曾
jsgs	长吁短叹
lhgv	自讨没趣
sqmn	吊钩
dxkc	押车
wksj	大嚷
khkj	冷血动物
fdnt	残雪
htls	急骤
yxlj	覆亡
dbmx	紫铜
vvtl	近路
rjcm	旧历
vpnh	横断
ngkh	包产
pvkw	若夫
dbdg	税利
cdht	世系
plvf	散兵
gwxj	异体字
wbyb	偏旁
wymm	依从
xblg	工蜂
jsqj	问罪
fvvd	妖术
kjgs	音波
rfxf	凸凹
kvlr	戎马
dlrk	打马虎眼
blbm	蜂房
djhs	未可
sjhn	唱高调
jyhj	瑙鲁
ypsl	发昏
wjlm	大显神通
swxk	船家
dplx	搭腔
lldd	庸庸碌碌
xtmd	律令
bvkx	户枢不蠹
phjd	蒙昧
mnkm	钓具
wfky	便饭
rjvq	墩布
xmdj	卖力气
kwxp	饥寒
mkyg	锦绣山河
dryf	末后
kggh	红艳艳
cjcl	惊惶
lfcj	应用文
vjhb	枉费
kqbk	奉养
nhnx	炒买炒卖
wbxc	偏巧
ghgr	沉湎
pkmq	药铺
fkvs	无意之中
fnsv	灭迹
xmyq	穷酸
xhfh	甲乙丙丁
bqdk	半拉
kmck	经心
tlxh	阴宅
fcfd	无情无义
fyfk	如醉如痴
kflh	动如脱兔
kkpm	红颜薄命
vkym	走卒
kkfj	丝光
dgph	怨怼
dyjp	抗暴
lklj	自序
gjkn	润饰
stnt	吹箫
rkkl	紧绷绷
xkjd	冒昧
rbnn	增删
dbdl	柴禾
mhmh	勇冠三军
hxvk	血肉相连
hlnd	哥白尼
kbms	井架
nssd	够味
vffj	略见一斑
jsfs	卑鄙无耻
fglm	赏脸
jgbp	暖水瓶
gxph	鸿蒙
ldss	上操
pgks	薄纸
plhh	蓬乱
knck	二心
khds	不以为耻
yfvj	教学相长
nxyq	毁弃
fgqh	赏罚
kjdn	牌九
hhya	谗言
gffn	浅见
knpg	凋落
npph	雾蒙蒙
xncs	官复原职
phnm	劳烦
fywk	嫡传
dfdl	九天揽月
ghhh	寿诞
wytm	优裕
xvfi	工本
pgsf	刊印
pwgp	莽汉
prla	圣上
nvss	笑骂
vxvk	左支右绌
kglh	羊肠
hnkn	调羹
kfxm	病容
fdvf	残兵
nxhy	毁谤
bjns	疑问句
wjft	停当
nblf	炉膛
jhjj	晚景
wkmd	传令
yyji	醉鬼
jhfc	日久见人心
wrme	猿人
txbf	图穷匕见
xllp	宗庙
jmbk	敲边鼓
jksx	子叶
pnxx	苦行
mtrn	既而
vjpp	橘黄
fydf	无援
cgpb	贞节
tjgk	国贼
fkxo	女红
tllx	图式
wjns	俳句
fxya	婉言
fddf	逼良为娼
knng	敖包
qmfn	罪加一等
njlv	焊条
crcj	压惊
byjk	逆子
srya	忠言
blvk	貌相
lklf	上冻
klpd	麦草
pmsg	电贺
sflw	哑然
gflr	洞天福地
xmbh	内弟
vdkw	树碑立传
pflv	荆条
pmmd	电铃
kplj	奉若神明
sljk	遗腹子
fplf	开膛
sjlk	呈祥
nkyf	料峭
smwk	别传
tyjk	蹄子
dlvh	九泉之下
wfkq	倒悬
kvfh	亲爱
ckvk	怀想
sssn	嗫嚅
gkjm	财运亨通
wnrn	作声
gnkt	淡绿
dqcx	私愤
gsyq	智育
ksvb	盗亦有道
vmmx	松针
jxxx	日行千里
ydyr	酥麻
xlhf	额角
kmyl	轻飘
qmyv	逡巡
ltpk	马蹄莲
cksc	怀恋
fphx	奸计
vhrw	焚书坑儒
vlxt	格律
ghkr	活结
lbdk	脱氧
bjdw	关门打狗
bpwp	蝇营狗苟
fjcb	乳剂
lkmh	神经错乱
wktl	位图
mcqh	人心向背
lnlp	胸膜
lfdf	督抚
slsx	咯吱
xhnh	宅第
fhgx	学潮
qsdf	台步
krmj	头面人物
cylm	愿者上钩
pjyt	蓑衣
ddvy	垫板
jqnx	晌午
hpmb	评介
spjk	叫花子
xjmx	得劲
csls	战祸
tnvw	灵机
nqls	刷白
fyjd	无日
lrkh	脚癣
fpfj	娉婷
gyfm	酒兴
cdwd	世态
rkcv	城厢
knvj	夹竹桃
mvjr	边门
vwxc	机巧
kfmx	纱锭
kjvm	睹物思人
nmgh	零活
hxjw	鳏寡孤独
fjlf	天高皇帝远
chvk	这么样
dfjd	此一时
nkme	粗人
kjbj	意旨
dgcf	黎民百姓
gmfm	法力无边
vnyx	灰质
nnnv	炸雷
gfgj	溪涧
kgfg	不知死活
vxgp	桐油
gsll	滑腻
mfnk	剑眉
ftlm	奴隶社会
ffvy	媒妁之言
kgdh	责打
dpms	石英钟
fbfs	婵娟
gydo	刀山
dkcy	破绽百出
typv	蹦迪
svhm	听诊
yqvv	幽禁
hkjx	军制
sfhf	哑语
vfkg	本纪
gxwn	鸿儒
kflh	决一胜负
nbdl	古道热肠
rnkx	临睡
vfdr	本末
kjcj	韵文
sxrh	喷壶
mwcn	八仙桌
smxc	戮力同心
nfhm	数论
pxng	难得糊涂
sdww	口齿伶俐
hxdx	以攻为守
yggs	岂知
gywl	梁山伯
hfwd	语态
fhxm	受穷
lyqg	白山黑水
vjfn	略高一筹
lqwr	胎毛
ftfr	当堂
bthb	邪说
ppfx	黄鹂
fshl	互让
gvha	水杉
llnr	自然数
vxkr	刺目
yrmp	老虎钳
frks	一声不响
jrxk	阖家
xpwf	支使
sncr	吃斋
tbbk	圆鼓鼓
rhld	地脉
dbwf	报偿
xfbl	富户
mdxf	今宵
khll	瞻望
gjfr	洗尘
ktsn	不足取
nlhh	胡话
nvfr	舅母
hlxf	敌寇
ggxd	滴水穿石
chkj	文过饰非
slth	昏君
ghhs	渔歌
cscn	忸怩
qrxn	罢官
hdvj	弹指之间
hbxm	说项
jykx	星斗
ykkf	生丝
ldpy	广种薄收
btbl	邪道
xcxk	真心真意
fvfd	恶有恶报
lkdh	盲打
ljjm	月琴
rrlv	基肥
svwg	听凭
gfvk	浮想
fvfl	用兵如神
xpfp	千难万难
lnvy	忘年之交
nnhm	等米下锅
llnm	腻烦
tgkb	剥蚀
kssw	纸船
vnwk	木筏
vvyb	近旁
hmhf	顶角
sysh	嘟哝
dnbx	鞭辟入里
mkpd	含羞草
pdwp	蔚为大观
flvx	小康之家
mpgp	盈满
wcks	侦缉
jffu	孤女
wpcj	供桌
nvnv	簌簌
jfrh	暖壶
pwkf	双曲线
kcxv	不惜工本
phno	营火
xlfh	安然无事
dtms	砸锅
jwyq	高峻
crhs	与虎谋皮
vvsp	梦呓
xvfc	完整无缺
kttj	盗匪
gmgi	汲水
hqkw	鳏夫
srgd	吐沫
hjdr	张挂
phpd	艺苑
dvhg	杂记
yngm	老糊涂
tlkf	阴毒
bcvs	雅趣
xsfp	宫刑
stdh	吹打
ffkt	天无绝人之路
vmvp	枪杆
xwlp	巩膜
ssjd	翠玉
pjpn	茱萸
mjhj	公子哥儿
gymf	沸反盈天
svwk	留传
dtgg	排除异己
hkyt	军衣
kxvv	凄楚
sxld	叶脉
pvkq	电棒
ymfp	交媾
wkff	仪表堂堂
djvn	香灰
ywlk	夜盲
fshh	副词
kbqs	井台
thsh	寻呼
vvvd	有根有据
fnhm	灭顶
nldj	胡搞
swsb	咿呀
twyh	因袭
kxfq	纲常
kpsq	轰响
ymsn	顺耳
plym	荒郊
lsbp	白蜡
nmpk	火钳
mhdh	锄强扶弱
dsph	拐带
ljdj	腥气
mgfs	放浪形骸
mtkx	钦差
qftr	金无足赤
dfhj	义正辞严
vfnw	兵符
ltdt	庸碌
rdmk	凸透镜
pjcg	茅厕
ssvl	翠柏
ymlm	效验
dytm	撤防
ybvc	老朽
pxnq	英年
tmjk	坠子
pbtg	节录
vgfk	男耕女织
gpsf	油印
qllj	熊胆
fvpg	画刊
pdsx	草叶
vyhh	校订
wghj	任课
fgyq	女流
kkks	丝织
wggc	犯忌
ghsd	艳史
fbfw	嫌恶
gppx	汉英
jkxf	豪富
ngkk	雨丝
nktf	粗陋
msfn	人手一册
xdwv	刚体
pjvq	瓦楞
dfmf	授命
vkhn	相许
flfm	嫁祸于人
pnnx	双簧管
sgmd	叨念
wmfq	伦常
ppfc	黄雀
mfmv	斜边
crhk	怯弱
dmjk	碰钉子
jhgh	长话短说
gphm	灌顶
wspk	保藏
dsxx	操行
rlmx	坦白从宽
vypg	校刊
ghlq	财帛
lglw	骇然
tbkf	回归线
lkhv	七绝
xxxl	空寂
wdbx	仁义道德
ndlc	粮店
nbvn	炉灰
ywth	发奋图强
sshg	戳记
sfbf	别无所求
mjpr	人非圣贤
vmvh	趁人之危
qdsv	羁留
bygi	逆水
yvdq	巡捕
vqjk	梭子
jcgy	闷酒
jlqs	鬼胎
kfsv	感喟
knpp	二黄
skhf	口头语
nyhh	屈才
lgvv	切近
wkjk	凿子
hhpg	词藻
pkpk	葳蕤
btqj	归罪
mbvb	念兹在兹
lklh	盲肠
tggs	圆溜溜
fqya	常言
dffh	授受
jlnw	旷古
sfsj	吵嚷
hffx	以一当十
dksw	接骨
fmfd	奶娘
pvsv	苍松翠柏
gjnf	浩繁
fngs	姑婆
dvnn	杂居
qckf	卧病
gcmg	济贫
khvf	成事在天
fphh	开幕词
kjwv	结晶体
kcnl	准尉
fnnv	见笑
ldls	礼义廉耻
nkfh	粗劣
gkvy	贩夫走卒
fkkc	一着不慎
kvsn	亲耳
nwym	笔顺
pbhf	双关语
rgkh	临渊羡鱼
qckc	卧车
kxnb	音容笑貌
lgjf	切题
nyvn	火炭
xnvf	甲兵
jbfp	严刑
jbtx	班师回朝
fxbs	一官半职
pmdx	茶碗
rhhs	勘误
ktlb	素服
kvhh	连词
xmdj	肉排
vddq	起早摸黑
vdny	樊笼
nhjj	灯影
nwhh	类书
pnss	葱翠
jkkp	豪绅
swkh	口传
mdht	父系
jwff	高妙
lwlt	膀大腰圆
qdxd	罗网
rpkf	竖线
skvs	舟楫
pdks	草纸
cctg	心怀叵测
bffd	师娘
mdpk	三藏
swhq	骨血
psvm	落叶松
knkl	眯缝
jdxk	日冕
hrwn	装假
pdvl	草棚
hjcg	舐犊情深
cydn	离愁
mlcj	八股文
wrdm	侍郎
dwgf	接风洗尘
xxdk	行止
ktlv	绿肥
tcrl	襟怀坦白
xdnt	朝露
shjk	弯子
xfmg	微分
dllm	矿务
xkfp	家奴
mxdh	针砭
ghhh	沉冤
dghm	为民请命
mdhv	贪色
nfdn	数九
dngl	黎民
vwgn	栉风沐雨
xmyk	巫峡
qdks	罗织
sflw	乐府
ljpg	神鬼莫测
ddxl	稀客
dnny	抱屈
lvhr	肥壮
hhrx	事过境迁
fvxy	娇宠
frry	尘垢
gypv	浮生若梦
jhkj	晚春
mfmq	通铺
wykh	催产
fkdr	小鞋
mmvq	欲加之罪
hkpw	飞花
vpxk	权宜
drwv	多面体
gfdr	改天换地
xhnv	卖笑
fhvm	恶语相加
vwvg	树大根深
nnnm	震古烁今
gycx	酒缸
lgcs	切点
tjdk	匡扶
hhvm	谋事在人
wjpc	遭难
hynv	讪笑
mpdv	错杂
ymjk	卒子
hffj	弧光
wnkb	狗尾续貂
glmy	江东父老
wkmx	大头针
vkrr	相面
wndh	假托
lkjv	冬闲
mdfg	企求
nwsd	断代史
kfnb	毒箭
dhrp	打紧
kvtb	专横跋扈
xnks	千古绝唱
glsp	民变
kvkd	善有善报
hjhj	谆谆
cjpd	文苑
ydlw	巍然
gtxg	治国安邦
phpc	蒙难
kcmm	纹银
lwfa	鹰爪
xfjx	寒来暑往
bqfj	叛党
wtlv	促膝
jhkm	造谣惑众
fmwr	兴修
mpbq	锋芒所向
sfgn	印泥
vmfh	有勇无谋
mxtk	三妻四妾
xfxw	衙役
cmjm	惟命是从
sfhv	拜谢
nghf	犀角
kwrx	具体而微
lpny	鹧鸪
nhnn	糨糊
fgvs	天渊之别
qwjf	参量
shtj	呵欠
mffj	余党
dmvd	打铁趁热
hbtl	背阴
hypk	甜酸苦辣
wnwk	倨傲
lrhr	礼贤下士
kqmq	奉公
klkk	绿肥红瘦
dpps	良药苦口
ntcx	烟缸
swdn	迎风招展
vkvk	桃红柳绿
ctyq	百灵鸟
tkbw	陪送
flhm	无神论
frht	母系
ntgs	烟波
njfy	复姓
fbkk	女眷
hmhx	敌众我寡
mfwf	通例
lvvm	肥田
phwv	对仗
mkjj	含饴弄孙
vgdv	起誓
prfx	劳而无功
vslv	柳条
jdjl	日晷
yfjk	老妈子
xcdl	攻心为上
wymf	催命
ffwh	如来佛
hkbl	飞蝗
plvh	荒村
jkwn	暗伤
vrsq	存盘
ydxd	山冈
gnfv	泄露天机
tjxh	阳宅
jkkk	明眸善睐
pgfl	荒淫无度
vljn	格物
mkfj	镁光
cjhv	愠色
jjdv	间杂
qlvm	黑枪
hlls	鱼肚白
kswj	练习曲
dbkw	磁头
wfwd	作奸犯科
tjff	君子好逑
mngg	镂刻
jsxj	造字
xxjg	空阔
lnlk	胸臆
dhfp	挣开
jfkq	孤魂
ldmk	七拼八凑
xdlb	朝服
cccc	恍恍惚惚
yqht	育雏
kpkk	不干不净
sxdd	吃里扒外
ggwk	江洋大盗
ngds	雨披
njvm	焊枪
dhfr	拂尘
dsfl	摄政
jdsq	玉盘
dkyq	九头鸟
hhcy	词性
xlhb	宗谱
yhtw	教书匠
pgkv	黄粱美梦
ddfu	义女
nhpc	灯芯
jwfx	物华天宝
sjsn	嚎啕
wtwh	侵夺
pbcm	平仄
xnch	官厅
nfnr	炒米
xpxv	宽宏
kwgp	头油
bwlp	普度
fndv	亘古未有
kwkd	不仁不义
xpxq	寒窗
nxhy	管弦
hfsx	解嘲
wjtl	遭际
qvfr	置之死地
hgvh	过江之鲫
pvvk	草木灰
ftyl	当票
jcbo	长虫
xxtt	密密匝匝
dkdf	扶摇
nmrx	粉墙
slcm	遗恨
hgfk	下贱
sfgh	拜寿
hfmh	角铁
xpdj	寨主
cckh	心慌意乱
vjcs	查点
bymf	遵命
tjvy	君子之交
wfcd	便餐
sldl	忠肝义胆
fkkl	残羹冷炙
hfjr	角门
pcvp	难友
xxxj	献宝
hhtx	弥陀
kmjh	眼晕
ysna	西皮
dkhd	扶疏
wdkw	凡夫
hkmr	军垦
pqyr	蓖麻
jdvw	影碟机
tfmx	回形针
mgmq	全知全能
pgwj	落水狗
nhkq	断魂
skwv	叶绿体
mgkh	分辩
kxkq	红运
gyff	江山如画
pvdg	英雄气短
nydb	屈指
pmnb	茶炉
txgh	国富民强
thvp	君权
hwhf	状语
jjns	影壁
fcgs	女贞
hgqj	负罪
wkwk	大红大绿
jqfh	孰能无过
dqvv	挨近
rjwm	旧俗
phmn	蒙族
dhhf	括弧
hgkh	负疚
blmy	普度众生
djxf	香案
cjbv	百兽
bqcd	半世
wsgf	低贱
ckgx	心潮
hxvk	解囊相助
bwyw	前俯后仰
dcsr	扑哧
xqpj	帘幕
qmpk	敷药
dffk	止于至善
ckcc	怵目惊心
npjw	雪花膏
gymf	酒钱
xlsw	彻骨
nhfv	灯彩
sdxc	手巧
fvdx	画押
xctv	巧匠
nkxf	眉宇
dsst	打哈哈
wycx	独出心裁
wnym	风雪交加
dhtp	拂袖
rxrd	土里土气
gjbm	账房
lcfp	息怒
xrck	街心
wfbb	倒毙
gysn	泼皮
gpmj	游戏人间
gfjr	沙门
ghcb	汤剂
ksrb	羞赧
dcpy	鸠占鹊巢
kjvl	音标
mhdv	坐失良机
vspk	有口难辩
hbkv	说亲
sfwy	印信
dhrw	乘虚
ypcx	发愤
jvfj	辽远
ghxj	活字
kwlm	头脸
kmsd	红旗手
mwxj	铅字
lvvj	床榻
ppyk	叠嶂
kjfr	韵母
bqcy	叛离
jnwr	物候
hnsf	翻印
pxgp	英汉
nqkd	笔墨纸砚
lmhm	务须
fsxl	兴味索然
fxcn	举案齐眉
cplw	怦然
njhc	复写
hbds	谐和
nylw	灿然
krxd	结网
nrwk	雕凿
slcl	口服心服
kdvd	意气相投
pmgp	芳泽
yfgt	要津
lrpk	社戏
hkqj	请罪
bxwd	鼓风
ntlk	雪盲
xbkx	寝食不安
cjcx	怅惘
hhvc	书橱
gyss	赌咒
qddf	金石为开
hsxc	可巧
wvwg	休业
kxkb	续编
wfwf	倘使
rhvm	地极
wvht	佃农
xhpb	守节
yjlr	裹脚
bkcf	邪不压正
xxtt	行距
jhgb	闻过则喜
nlks	糖纸
ldwf	驳倒
kvgj	细润
xjxj	徒子徒孙
sbkq	羽扇纶巾
yvjk	崽子
wbml	偏锋
cgcp	顾惜
vyjd	思考题
gfft	淫妇
fdsm	死别
gklf	清福
gyxf	流寇
bltn	道袍
ckkk	情丝
hwyc	装傻充愣
ghck	艳情
lcnd	卡尺
wyfn	仙姑
bvmm	兽欲
ktvu	软木
vmpw	松花
frnt	尘烟
hxxx	买空卖空
jjjw	珠玑
dwlt	颓唐
vckv	思亲
pdks	草绳
pbvf	节本
bdkm	食具
tlgj	阴湿
kdfn	瞅见
bbss	蝉翼
wbdp	货摊
klmf	饶命
gmmk	刀俎
fwyq	尖酸
msqs	锅台
rjym	旧交
vpvd	树身
djjd	气昂昂
blkt	比上不足
ktgn	素淡
fhvk	形象思维
nxlw	居功自傲
bkcl	遂愿
dbdg	报怨
bbrk	比肩而立
kgmg	馋涎欲滴
gkkc	洋车
gggg	污泥浊水
ybxp	旁支
jpvn	闻鸡起舞
dbyc	此岸
xfph	安营
bckq	疑心病
gwvs	没趣
xkhs	家兔
hnxn	鳞甲
cjhk	文辞
ghdh	泛称
fjbc	娴雅
mtvy	三合板
csfn	心中无数
mjdb	全拼
vwff	男大当婚
dyhw	拨冗
vbff	相貌堂堂
nhjs	忽闻
kstc	织补
cgfx	文治武功
nssm	笑吟吟
blxn	蝗灾
xxkw	安家立业
fkmc	正经八百
hvhf	谓语
jskl	告饶
pkvk	花红柳绿
wtwk	促狭
mrxj	方块字
jffg	玩赏
kkxl	动辄得咎
kqkf	纬线
fxss	贯串
stnx	吹管
ktru	表土
dnnp	热烘烘
hwjn	急风暴雨
njkf	等高线
wdmj	俯拾即是
klpj	青蒿
vllj	巴望
hbxb	说穿
mqdl	铺砌
dmbg	拾人牙慧
bhvm	比下有余
yghs	岂敢
pvbk	芝兰
vgvv	栋梁之材
scjn	唯物
gkxp	清寒
klfj	绵亘
hbrh	背地
hkgf	辞赋
lddv	驳杂
dxvt	碗柜
xxsv	重听
xvrd	徒有其名
fbvb	开卷有益
frks	尘缘
fvms	画架
mdjd	三昧
jrck	衷情
snjh	耳孔
mvlp	退席
hkvr	军棋
hrjj	诗选
kbhh	编订
fkns	小篆
cxcx	怏怏
nlyr	胡麻
ffjx	两天晒网
khmm	不可企及
pwpm	花茎
gfkx	浅红
ggxg	清汤寡水
vlvh	有胆有识
hpgi	甜水
kkff	端端正正
hvfs	以身殉职
wmye	偷生
byjc	尊长
pdpy	草鸡
lrfa	脚爪
tkcy	阶级性
fypd	母夜叉
mclv	钻床
njhb	简谱
njvf	复本
lvcg	骄兵必败
hkgl	飞渡
sfkc	吃一堑
nhyq	灯市
hqjx	币制
kcfh	新文学
kxvk	瞧得起
vwcw	身价百倍
bvll	扁桃腺
dyjp	凶暴
wwkw	猴头
ghkq	河运
khva	眨巴
hbjk	谱子
tvck	襟怀
xmji	穷鬼
yqrw	玄虚
gldc	满腔热忱
hhkl	讨饶
hdws	久仰
lflg	福如东海
hdpg	疏落
bqqj	判罪
xfrr	凹面
yplk	返祖
dxgp	歧异
xnds	官名
snjk	吹胡子瞪眼
kfhk	病弱
pmym	恭顺
kxmh	不容分说
rhtx	场院
wsgd	风吹浪打
kvfg	绿林好汉
nsvt	壁柜
bhbo	螟虫
