#简词
喜欢	b
蚢	bywn
蚭	bnbi
蚲	bpba
蚹	bwhc
蚻	vhbo
蚼	bnso
蚾	bsna
蛓	xkbo
蛝	bmwi
蛠	bmmm
蛢	bbpi
蛣	brso
蛧	bxdd
蛯	bybi
蛷	bfgd
蜁	bnhd
蜄	bccu
蜏	bdmq
蜙	bvmq
蜛	bnnw
蜧	bbwa
蜪	bnrw
蜫	bjbb
蜲	bdfu
蜹	bpxm
蝁	fjbo
蝃	bppp
蝏	bjhk
蝐	bxkk
蝑	bhdl
蝚	bjhv
蝡	brwk
蝢	brgu
蝹	bjqr
螁	bmvo
螆	bbqq
螉	bmqs
螌	skwb
螐	bxjo
螘	byfb
螜	kfbo
螝	bji
螥	bmds
螶	twkb
螿	klhb
蟂	bxvu
蟇	pjwb
蟉	bssh
蟎	bpfb
蟏	bptm
蟐	bfqn
蟓	bhsk
蟤	bggm
蟧	bnnm
蟨	cbyb
蟩	bcbt
蟺	bytf
蠁	khdb
蠏	bhfj
蠐	bybk
蠝	bvvv
蠥	yclb
蠨	bptf
蠭	lkgb
蠵	bycs
蠺	fwfb
蠿	qgqb
衂	hqgd
衇	hqyt
衜	xblx
衸	tgmb
衼	tgxp
袃	lgyt
袌	yngt
袏	tgvx
袔	tghs
袘	tgnh
袙	tgls
袨	tgyq
袸	tgvj
袹	tgcj
袽	tgfs
裦	ysft
裧	tgnn
裬	tgrl
裲	tgfb
裶	tgjw
褃	tgdl
褄	tgxf
褌	tghb
褑	tgfp
褢	yjto
褱	yqgt
褷	tgxd
褹	tgrd
襂	tgqh
襅	tgjx
襇	tgmj
襉	tgml
襏	tggw
襐	tghk
襒	tgbl
襗	tgqk
襘	tgmj
襙	tgsv
襚	tgbv
襫	tgwj
襭	tgrr
襳	tgmf
覂	yhvi
覍	fkpn
覑	knpn
覝	pwnp
覟	rcpn
覢	nnpn
覭	hjyp
覰	rlkp
覶	fmxp
覸	mrjp
觓	hfyu
觕	jqhf
觗	hfsl
觘	hffh
觙	hfmd
觤	hfhg
觼	hfhl
訆	yyu
訒	ygdu
訰	ylya
訷	ypdo
訹	yvdu
訽	ynso
訿	ydbi
詅	ymdm
詉	yfpe
詋	ysje
詍	ycdo
詏	yqmv
詒	yqso
詷	yxfs
詺	ydso
誀	ysne
誁	ybpi
誋	ygck
誖	yxhj
誝	ymds
誶	yymx
誻	ygjd
誽	ynje
諀	yjxi
諉	ydfu
諌	yvjd
諑	ykdu
諟	yjfd
諯	yyrn
諰	yvck
謈	jdpy
謉	yji
謌	yhss
謖	yvml
謚	ybmq
謥	yqlc
謮	ykys
謱	ysxf
謴	yfxy
謵	yssl
謶	ylpn
謺	rkdy
謻	yddd
譀	yhsl
譂	yssx
譄	ybjj
譒	yhnv
譖	ytjj
譙	ycns
譠	yytf
譤	ylml
譭	ynxw
譮	ymfj
譲	yymt
譳	ynrn
譵	ywkh
譶	yyya
譺	ybxd
譻	ysyy
讁	yybv
讐	ccya
讜	yfql
谹	mmsq
谽	mmss
豂	mmsh
豃	mmsl
豙	kvkd
豜	kdfp
豯	kdfw
豰	kfkd
豴	kdyn
豶	kdxy
貜	bkkp
貭	yxys
貳	lgky
貹	ysye
賍	yslr
賎	yskk
賐	ysql
賙	ysns
賚	vvys
賛	kwky
賟	ysxm
賥	ysyx
賳	ysxs
賶	ysms
賷	xssy
贀	twxy
贂	ysqh
贍	yshy
贐	ystq
贑	kvdy
贕	srdy
贚	yskb
贜	yspq
赬	rbmy
赮	rbmp
赾	vkvn
趂	vkhf
趈	vkcs
趉	vkyy
趌	vkrs
趖	vkmr
趘	vknw
趝	vkmc
趞	vkpj
趡	vkci
趤	vkxd
趥	vkbj
趦	vkks
趧	vkjd
趩	vkvm
跈	tkmh
跊	tkdj
跍	tknw
跒	tkhs
跜	tknb
跠	tkwh
跥	tkmv
跧	tkmj
跿	tkvk
踁	tkfx
踂	tksh
踄	tkdf
踈	tkvs
踋	tkrb
踑	tkrj
踒	tkdf
踲	tkyk
踾	tkfv
蹞	tkbr
蹢	tkyn
蹥	tkbv
蹨	tkln
蹫	tkjs
蹹	tkts
躀	tkfy
躃	tknk
躆	tkrk
躈	tkll
躉	pxtk
躟	tkjt
躣	tkkc
躥	tkxt
躻	vdxx
軂	vdnm
軎	bcso
軑	bcwk
軚	bcwd
軝	bcsl
軥	bcns
軪	bcqm
軭	bctj
軯	bcpb
軰	hbbc
軲	bcnw
軵	bcwh
軽	bcpr
輈	bcsk
輚	bckk
輢	bcws
輨	bcxk
輭	bcrw
輮	bcjv
輳	bckw
轐	bcwk
轖	bcrs
轗	bckc
轚	bcyb
轛	bcwh
轣	bccd
轷	kchh
辡	kkkk
辵	hdke
辺	gvo
迀	pwvo
迉	ndvo
迯	dkcv
逈	qkvo
逓	ykqv
遅	ndkv
遉	cnyv
遖	xxkv
遰	pfhv
遻	ssbv
邌	dlnv
邿	rhtu
郀	wkft
郆	rstu
郔	hdyt
郟	wkmt
郣	xhjt
郰	snpt
郶	kvsv
鄅	hsxt
鄊	khst
鄏	ccht
鄐	yqvt
鄔	xjtu
鄛	ycjt
鄟	bcht
鄼	kwkt
鄽	lwxt
酑	jgfh
酘	jgwu
酟	jgcs
酧	jgxh
酨	xkjg
酼	jgyj
醊	jgpp
醎	jgks
醏	jgyj
醓	jghq
醔	dlnj
醘	jgrq
醼	jgpn
釂	jgfh
釃	jgfn
釚	qdne
釟	qma
釡	mqi
釨	qjke
釪	qfho
釳	qnhi
釹	qfu
釼	qgdu
鈃	qfpi
鈄	qkxi
鈆	qmqi
鈊	qcka
鈒	qmdu
鈖	qmga
鈛	qkwi
鈢	qvu
鈦	qwdu
鈩	qbla
鈰	qyqn
鉂	qsdi
鉊	qgso
鉋	qngd
鉌	qdla
鉒	qdja
鉖	qlkn
鉙	qsma
鉚	qsro
鉝	qkvi
鉞	qkhi
鉣	qrqi
鉨	qhfk
銈	qrru
銉	qtqj
銒	qppw
銕	qwhw
銛	qhdo
銞	njqi
銡	qrso
銢	qkgi
銧	qfjj
銫	qhva
銭	qkkw
銯	qti
銸	qshi
銻	qbhh
銼	qmmr
銾	qxgi
鋀	qfsb
鋄	qfnp
鋞	qfyx
鋩	qplj
鋭	qbsj
鋱	qlck
鋵	qdwn
錀	qmfn
錆	qkle
錉	qslj
錍	qjxi
錑	qbwa
錛	qwxp
錣	qppp
錪	qxpm
錬	qvjd
錴	qrmr
錹	qdle
鍂	qqi
鍇	qbbl
鍈	qpxw
鍉	qjfd
鍑	qnjl
鍗	qybq
鍞	qcys
鍧	qnya
鍭	qwkx
鍺	qyjd
鎃	qgyt
鎅	qvmb
鎒	qchc
鎛	qqhc
鎞	qqdb
鎡	qbqq
鎫	qqdl
鎭	qbkm
鎻	qyys
鎼	qrsd
鎿	qtsd
鏉	qvst
鏌	qpjw
鏏	qggt
鏑	qybn
鏕	qnvi
鏙	qyci
鏧	rnwq
鏨	bcvq
鏺	qghw
鏼	qnvx
鏿	qfvu
鐋	qgjh
鐌	qhsk
鐖	qqqm
鐣	qfsd
鐥	qkbs
鐦	qmfp
鐶	qqft
鑀	qfhl
鑋	bcfq
鑔	qxgl
鑕	qvvy
鑗	qdng
鑙	qdyj
鑞	qytt
鑢	qrvc
鑤	qjpg
鑬	qqnp
鑷	qsss
钃	qngb
钄	qpmb
钑	mmdu
钶	mhso
铥	mgqi
铹	mphm
铻	mfss
锠	mjjd
镸	vcu
镺	vcvg
镼	vcny
閕	mrbg
閞	mrqp
閮	mrgy
閴	mrys
閼	mrmk
闁	mrmr
闑	mrlv
闟	mrts
闠	mrsy
闣	mrfv
闤	mrqt
阓	jrsg
阞	tmvi
阠	thxi
阧	tkxi
阫	tksi
阰	tbbi
阸	tbhi
阾	tmdm
陊	tddk
陒	thcg
陙	tccu
陼	tyjd
隀	txxv
隃	tmfg
隌	tkjd
隟	tyjv
隬	tfmd
隮	tybk
雃	fpci
雘	nypp
雫	ngha
雺	ngjh
雽	nghh
霔	nggj
霘	nggs
霚	ngjl
霝	ngss
霟	nggm
霢	nglt
霫	ngsl
霳	ngty
霿	ngjk
靆	ngkv
靋	nggd
靎	ngqx
靏	nghx
靤	rrng
靭	dwgd
靮	dwnd
靱	dwgd
靷	dwhr
靽	dwbq
靾	dwcd
鞀	dwgs
鞁	dwsn
鞄	dwng
鞌	xfdw
鞖	dwff
鞙	dwsl
鞜	dwgj
鞟	dwjj
鞱	dwfn
鞵	dwfw
鞹	dwjt
鞽	dwvs
鞿	dwqm
韇	dwry
韈	dwpd
韒	sjsl
韔	sjsv
韗	sjsb
韝	sjsr
韰	cndf
韱	mmkf
韹	kvjj
韽	mdhj
頋	cgrg
頍	xprg
頨	ssrg
頪	nrrg
頳	rbmr
頼	vsrg
頾	hrdb
顇	ymmr
顋	vmcr
顑	kjfr
顕	jdwr
顚	bkhr
顦	cnrg
顨	rgrj
颕	blmg
颣	nrtm
颴	wwnd
颸	wwvc
颻	frww
颿	crww
飁	sslw
飇	wwww
飈	wwnn
飤	bdme
飦	bdpw
飮	bdtj
飵	bdnc
飶	bdch
餄	bdtl
餎	bdls
餧	bddf
餪	bdrw
餳	bdjh
餶	bdsw
餼	bddn
饇	bdts
饍	bdks
饎	bdbs
饏	hslb
饛	bdpk
馹	crjd
馺	crmd
馻	crqj
馽	crsr
駄	crwd
駆	crtd
駊	crsn
駌	dkgc
駏	crtk
駷	crvs
駾	crbj
騋	crvv
騏	crrj
騜	crlj
騝	crty
騣	crdl
騺	rkdc
騼	crnv
騽	crsl
驈	crjs
驑	crjv
驒	crsx
驔	cryd
骉	lrll
骩	swdn
骪	swwd
骳	swsn
骿	swbp
髄	swvv
髐	swrj
髗	swrq
髤	vsvu
髱	vsng
髶	vssn
髸	vspm
髺	vshd
髼	vslg
髾	vsfl
鬂	vsvm
鬊	vskj
鬔	vslv
鬙	vsbj
鬝	vsmj
鬰	vddh
鬳	rlfr
鬶	kwfr
魌	jrje
魒	jyld
魓	jjpx
魠	xghl
魣	xgju
魤	xgwb
魫	xghj
魵	xgmg
魺	xghs
魿	xgmm
鮂	xgtm
鮈	xgns
鮋	xgpg
鮞	xgrn
鮟	xgxf
鮯	xgtl
鮸	xghj
鮽	xgmv
鯆	xgqu
鯓	xgvd
鯘	xgdf
鯟	xgvj
鯤	xgjb
鯥	xgrr
鯮	xgxl
鯳	xgld
鯻	xgvg
鰂	xgyg
鰅	xgxg
鰎	xgty
鰞	xgxj
鰬	xgrc
鰶	xggl
鰼	xgsl
鱆	xgkd
鱎	xgvs
鱣	xgyf
鱤	xgkc
鱦	xght
鱧	xgwb
鱨	xgfj
鱮	xgnm
鱻	xgxx
鱾	hggn
鲏	hgsn
鲪	hgts
鲹	hgqh
鳦	xqhi
鳭	gxqo
鳰	bdxq
鳹	mdhx
鳺	kwxq
鳻	mgxq
鳿	jxqo
鴀	ksxq
鴆	hjxq
鴍	cjxq
鴐	mvsx
鴔	hvxq
鴜	dkbx
鴩	hkxq
鴮	wkfx
鴱	pdxq
鴶	rsxq
鴺	wkhx
鴾	qjxq
鵀	wgxq
鵆	xxxc
鵔	xqql
鵕	qmlx
鵖	mwxq
鵗	dvqx
鵛	fyxx
鵣	vsxq
鵧	bpxq
鵱	rmrx
鵴	nnxq
鵺	ywdx
鵻	xqci
鵽	pppx
鵿	xqjp
鶂	njxq
鶆	vvxq
鶗	jdfx
鶚	ssfx
鶝	fsvx
鶞	yxkx
鶟	xkwx
鶠	twjx
鶣	blnx
鶨	snkx
鶪	krwx
鶬	mdtx
鶭	tmxq
鶱	xpmx
鶶	lwtx
鶽	cxxq
鶾	xdnx
鷀	bqqx
鷂	frxq
鷋	pmfx
鷍	lkvx
鷎	lswx
鷏	xkmx
鷒	bchx
鷖	twxx
鷙	rkdx
鷜	sxsx
鷞	wkdx
鷢	cbyx
鷧	rhfx
鷨	ppxx
鷪	krkx
鷭	hnvx
鷷	bjhx
鷽	nddx
鷾	kvjx
鸃	xqkk
鸄	lsmx
鸅	qjrx
鸆	rlsx
鸇	ytsx
鸍	fmqx
鸒	nclx
鸕	rlvx
鸙	tlnx
鸜	krkx
鸤	ndyq
鸻	xxyq
鹒	lwty
鹝	fsxy
鹺	cvkx
麏	nvts
麐	nvcs
麔	nvls
麛	nvhs
麞	nvkd
麨	vvlh
麫	vvlh
麳	vvlv
麷	vvlb
黁	yrdj
黋	fkjm
黓	qllg
黚	qlpk
黣	qlnf
黫	qlyr
黬	qlks
黮	qlrh
黰	qlxm
黳	twxq
黵	qlhy
黶	cjlq
黷	qlry
黿	fjht
鼂	jdft
鼉	ssvt
鼖	xpbp
鼘	bkxf
鼚	bkxv
鼟	bkxb
鼤	ntcj
鼨	ntlk
鼭	ntrh
鼮	ntgy
鼰	ntys
鼲	nthb
鼶	ntyr
齃	lkvh
齟	dckj
齢	dknm
齫	dctv
齰	dcpj
齵	dcxg
齸	dcbq
齻	dcxm
齼	dcvd
龎	cklb
龏	kvlp
龘	kvlb
龞	bqmd
龥	tlnr
ᄀ	hi
ᄁ	hhi
ᄂ	hi
ᄃ	two
ᄄ	twtw
ᄅ	gne
ᄆ	so
ᄇ	fya
ᄈ	fyfy
ᄉ	me
ᄊ	mme
ᄋ	so
ᄌ	mo
ᄍ	mmo
ᄎ	fmo
ᄏ	hfi
ᄐ	tne
ᄑ	jfi
ᄒ	knso
ᅡ	cna
ᅢ	cnri
ᅣ	co
ᅤ	cri
ᅥ	fri
ᅦ	fri
ᅧ	knri
ᅨ	knri
ᅩ	la
ᅪ	lcna
ᅫ	lcri
ᅬ	lri
ᅭ	rfi
ᅮ	hke
ᅯ	hkfr
ᅰ	hkfr
ᅱ	hkri
ᅲ	ji
ᅳ	fi
ᅴ	fri
ᅵ	ri
ᆨ	hi
ᆩ	hhi
ᆪ	hme
ᆫ	hi
ᆬ	hfme
ᆭ	hkso
ᆮ	two
ᆯ	gne
ᆰ	gnhi
ᆱ	gnso
ᆲ	gnfy
ᆳ	gnme
ᆴ	gntn
ᆵ	gnff
ᆶ	gnks
ᆷ	so
ᆸ	fya
ᆹ	fyme
ᆺ	me
ᆻ	mme
ᆼ	so
ᆽ	mo
ᆾ	fmo
ᆿ	hfi
ᇀ	tne
ᇁ	jfi
ᇂ	knso
☯	wkdu
☰	xdnh
☱	bsje
☲	cjyc
☳	ngcc
☴	gdgm
☵	rtje
☶	mwi
☷	rpdo
⚊	tjfh
⚋	tmdq
⚌	tjfh
⚍	tmdq
⚎	tjfh
⚏	tmdq
⚽	jfgd
⚾	jfgd
⺀	kne
⺁	yi
⺂	hi
⺃	hi
⺄	hi
⺅	we
⺆	na
⺇	wne
⺈	hi
⺉	gke
⺊	cna
⺋	gne
⺌	fka
⺍	fa
⺎	jjo
⺏	mje
⺐	yo
⺑	mwne
⺒	gdo
⺓	qgu
⺔	sne
⺕	tne
⺖	ci
⺗	fkdu
⺘	do
⺙	lke
⺛	twje
⺜	xnkn
⺝	le
⺞	cndk
⺟	fro
⺠	gdli
⺡	gi
⺢	gi
⺣	nsi
⺤	fa
⺥	fa
⺦	ha
⺧	jo
⺨	wje
⺩	ja
⺪	hdke
⺫	qjo
⺬	ldo
⺭	ldo
⺮	nu
⺯	ti
⺰	ki
⺱	xndi
⺲	qjo
⺳	hje
⺴	hje
⺵	xnri
⺶	kgu
⺷	kgu
⺸	ppwi
⺹	yvi
⺺	tne
⺻	tnfi
⺼	le
⺽	nu
⺾	pi
⺿	pi
⻀	pi
⻁	rla
⻂	tgu
⻃	yi
⻄	yi
⻅	fne
⻆	hfo
⻇	hnmm
⻈	ha
⻉	gsi
⻊	tke
⻋	kcu
⻌	vo
⻍	vo
⻎	vo
⻏	tu
⻐	mi
⻑	vcu
⻒	vcu
⻓	jcu
⻔	jro
⻕	lkko
⻖	tu
⻗	ngu
⻘	kle
⻙	qjhi
⻚	mgu
⻛	wndi
⻜	hkne
⻝	bdo
⻞	bdo
⻟	bdo
⻠	kdo
⻡	ycck
⻢	lro
⻣	swi
⻤	ji
⻥	hgu
⻦	yqo
⻧	cntd
⻨	klke
⻩	ppma
⻪	spa
⻫	cjbk
⻬	cjbo
⻭	dkny
⻮	dkmy
⻯	kvpa
⻰	yghe
⻱	hhtd
⻲	hjpa
⻳	hpa
⼀	fi
⼁	ri
⼂	du
⼃	he
⼄	hi
⼅	hi
⼆	kne
⼇	yo
⼈	me
⼉	je
⼊	bdi
⼋	ma
⼌	xne
⼍	hi
⼎	kne
⼏	wne
⼐	ya
⼑	ga
⼒	mvi
⼓	na
⼔	bi
⼕	two
⼖	two
⼗	xi
⼘	cna
⼙	bne
⼚	ca
⼛	qi
⼜	pe
⼝	so
⼞	tjo
⼟	ru
⼠	ri
⼡	lke
⼢	lke
⼣	dka
⼤	wke
⼥	fu
⼦	jke
⼧	xa
⼨	hcu
⼩	fka
⼪	yo
⼫	ndo
⼬	ycu
⼭	ydo
⼮	ycu
⼯	xo
⼰	gne
⼱	qne
⼲	pwi
⼳	qgu
⼴	lwi
⼵	yi
⼶	pi
⼷	lgu
⼸	hwi
⼹	tne
⼺	ha
⼻	xi
⼼	cka
⼽	kwi
⼾	vla
⼿	sdo
⽀	xpe
⽁	cnpe
⽂	cjo
⽃	knxi
⽄	vne
⽅	mwo
⽆	fyo
⽇	jdi
⽈	ke
⽉	le
⽊	vu
⽋	tje
⽌	dke
⽍	fdka
⽎	wu
⽏	fxi
⽐	bbi
⽑	wro
⽒	sli
⽓	dje
⽔	gi
⽕	no
⽖	fa
⽗	mdi
⽘	ddi
⽙	ka
⽚	kna
⽛	bgu
⽜	jqo
⽝	wa
⽞	yqgu
⽟	jdu
⽠	fwi
⽡	pjo
⽢	pkne
⽣	ye
⽤	fo
⽥	vme
⽦	hdke
⽧	kqo
⽨	go
⽩	lsi
⽪	sna
⽫	qro
⽬	kro
⽭	jhe
⽮	xdo
⽯	ddo
⽰	ldo
⽱	xnqi
⽲	dla
⽳	xka
⽴	kvi
⽵	nu
⽶	nro
⽷	ti
⽸	rwo
⽹	xndd
⽺	kgu
⽻	ssi
⽼	yvbi
⽽	rne
⽾	hdjo
⽿	sne
⾀	tnqj
⾁	xnmm
⾂	qe
⾃	lke
⾄	fke
⾅	nu
⾆	hdo
⾇	dkqj
⾈	ske
⾉	mwi
⾊	hva
⾋	ycyc
⾌	rla
⾍	bo
⾎	hqro
⾏	xxcu
⾐	yto
⾑	yi
⾒	pne
⾓	hnru
⾔	ya
⾕	mmso
⾖	fsba
⾗	kdo
⾘	bke
⾙	ysi
⾚	rbma
⾛	vke
⾜	tke
⾝	vdo
⾞	bcu
⾟	kka
⾠	ccu
⾡	hdke
⾢	sva
⾣	jgu
⾤	hnro
⾥	xvi
⾦	qi
⾧	vcu
⾨	mro
⾩	lkxi
⾪	ti
⾫	ci
⾬	ngu
⾭	kxla
⾮	jwo
⾯	rro
⾰	dwi
⾱	sjsq
⾲	jwfi
⾳	kvjd
⾴	rgu
⾵	wwo
⾶	lwo
⾷	bdo
⾸	blke
⾹	dljd
⾺	cro
⾻	swi
⾼	jwi
⾽	vsi
⾾	mke
⾿	dybi
⿀	fsxr
⿁	ji
⿂	xgu
⿃	xqo
⿄	cvi
⿅	nvi
⿆	vvlk
⿇	yro
⿈	pkpm
⿉	dlmg
⿊	qla
⿋	wgbm
⿌	httn
⿍	krkk
⿎	bkxp
⿏	nto
⿐	lkvj
⿑	ybrk
⿒	dcu
⿓	kvlb
⿔	hhtd
⿕	tlnc
々	hdu
〒	fhke
〡	ri
〢	ri
〣	ri
〤	di
〥	hi
〦	la
〧	lfi
〨	lkne
〩	rpe
〱	hi
〲	hkne
〳	ri
〴	ri
〵	ri
〶	fhke
〷	ddi
〸	xi
〹	pi
〺	pi
〻	hi
ぁ	xhi
あ	xhi
ぃ	hdu
い	hdu
ぅ	dhi
う	dhi
ぇ	dhi
え	dhi
ぉ	fhdu
お	fhdu
か	mvdu
が	mvdk
き	knhi
ぎ	knhk
く	hi
ぐ	hkne
け	hvke
げ	hvkn
こ	kne
ご	knkn
さ	xfi
ざ	xfkn
し	hi
じ	hkne
す	fhi
ず	fhkn
せ	hhi
ぜ	hhkn
そ	hi
ぞ	hkne
た	vkkn
だ	vkkk
ち	fhi
ぢ	fhkn
っ	hi
つ	hi
づ	hkne
て	hi
で	hkne
と	rhi
ど	rhkn
な	vkdh
に	hkne
ぬ	rhi
ね	hhi
の	hi
は	hfhi
ば	hfhk
ぱ	hfhs
ひ	hi
び	hkne
ぴ	hso
ふ	jvma
ぶ	jvmk
ぷ	jvms
へ	du
べ	dkne
ぺ	dso
ほ	hkhi
ぼ	hkhk
ぽ	hkhs
ま	knhi
み	hhe
む	fhdu
め	rhi
も	knhi
ゃ	hdri
や	hdri
ゅ	hhe
ゆ	hhe
ょ	hfi
よ	hfi
ら	dhi
り	hi
る	hi
れ	rhi
ろ	hi
ゎ	rhi
わ	rhi
ゐ	hi
ゑ	hi
を	fhhi
ん	hi
ゔ	dhkn
ゕ	mvdu
ゖ	hvke
゛	kne
ァ	hhe
ア	hhe
ィ	we
イ	we
ゥ	rrhi
ウ	rrhi
ェ	xo
エ	xo
ォ	hhe
オ	hhe
カ	mvi
ガ	mvkn
キ	qje
ギ	qjkn
ク	hi
グ	hkne
ケ	nhe
ゲ	nhkn
コ	ko
ゴ	kkne
サ	pi
ザ	pkne
シ	gi
ジ	gkne
ス	mo
ズ	mkne
セ	hhi
ゼ	hhkn
ソ	ba
ゾ	bkne
タ	lke
ダ	lkkn
チ	xje
ヂ	xjkn
ッ	fa
ツ	fa
ヅ	fkne
テ	fca
デ	fckn
ト	cna
ド	cnkn
ナ	vke
ニ	kne
ヌ	hdu
ネ	ldo
ノ	he
ハ	ma
バ	mkne
パ	mso
ヒ	bi
ビ	bkne
ピ	bso
フ	hi
ブ	hkne
プ	hso
ヘ	du
ベ	dkne
ペ	dso
ホ	vu
ボ	vkne
ポ	vso
マ	mo
ミ	mdo
ム	qi
メ	di
モ	fli
ャ	hri
ヤ	hri
ュ	ko
ユ	ko
ョ	tne
ヨ	tne
ラ	fhi
リ	ba
ル	je
レ	hi
ロ	so
ヮ	rhi
ワ	rhi
ヰ	qje
ヱ	hla
ヲ	hfi
ン	kne
ヴ	rrhk
ヵ	mvi
ヶ	nhe
ヷ	rhkn
ヸ	qjkn
ヹ	hlkn
ヺ	hfkn
・	du
ー	fi
ㄅ	hi
ㄆ	lke
ㄇ	xne
ㄈ	two
ㄉ	hhe
ㄊ	ldu
ㄋ	hi
ㄌ	hhe
ㄍ	ycu
ㄎ	cje
ㄏ	ca
ㄐ	yu
ㄑ	hi
ㄒ	hke
ㄓ	ycfi
ㄔ	xi
ㄕ	khe
ㄖ	tjdu
ㄗ	bne
ㄘ	fhi
ㄙ	qi
ㄚ	bri
ㄛ	fhi
ㄜ	fhi
ㄝ	vkhi
ㄞ	fhhe
ㄟ	du
ㄠ	qgu
ㄡ	pe
ㄢ	hhi
ㄣ	hi
ㄤ	yo
ㄥ	hi
ㄦ	je
ㄧ	fi
ㄨ	di
ㄩ	ya
ㄪ	fna
ㄫ	jjo
ㄬ	lwi
ㄭ	fqne
ㄮ	yhi
ㄱ	hi
ㄲ	hhi
ㄳ	hme
ㄴ	hi
ㄵ	hfme
ㄶ	hkso
ㄷ	two
ㄸ	twtw
ㄹ	gne
ㄺ	gnhi
ㄻ	gnso
ㄼ	gnfy
ㄽ	gnme
ㄾ	gntn
ㄿ	gnff
ㅀ	gnks
ㅁ	so
ㅂ	fya
ㅃ	fyfy
ㅄ	fyme
ㅅ	me
ㅆ	mme
ㅇ	so
ㅈ	mo
ㅉ	mmo
ㅊ	fmo
ㅋ	hfi
ㅌ	tne
ㅍ	jfi
ㅎ	knso
ㅏ	cna
ㅐ	cnri
ㅑ	co
ㅒ	cri
ㅓ	fri
ㅔ	fri
ㅕ	knri
ㅖ	knri
ㅗ	la
ㅘ	lcna
ㅙ	lcri
ㅚ	lri
ㅛ	rfi
ㅜ	hke
ㅝ	hkfr
ㅞ	hkfr
ㅟ	hkri
ㅠ	ji
ㅡ	fi
ㅢ	fri
ㅣ	ri
ㅥ	hhi
ㅦ	htwo
ㅧ	hme
ㅨ	hso
ㅩ	gnhm
ㅪ	gntw
ㅫ	gnfm
ㅬ	gnso
ㅭ	gnfs
ㅮ	sfya
ㅯ	sme
ㅰ	sso
ㅱ	sso
ㅲ	fyhi
ㅳ	fytw
ㅴ	fyhi
ㅵ	fymt
ㅶ	fyfm
ㅷ	fytn
ㅸ	fyso
ㅹ	fyfs
ㅺ	mhi
ㅻ	mhi
ㅼ	mtwo
ㅽ	mfya
ㅾ	mfme
ㅿ	so
ㆀ	sso
ㆁ	rso
ㆂ	rsme
ㆃ	rsso
ㆄ	frfs
ㆅ	knss
ㆆ	fso
ㆇ	rfco
ㆈ	rfcr
ㆉ	rfri
ㆊ	jkri
ㆋ	jkri
ㆌ	jri
ㆍ	du
ㆎ	dri
㆐	ri
㆑	hi
㆒	fi
㆓	kne
㆔	mdo
㆕	tjje
㆖	la
㆗	sri
㆘	ha
㆙	xne
㆚	hi
㆛	fxme
㆜	hke
㆝	fwke
㆞	rhe
㆟	me
ㆠ	hi
ㆡ	bne
ㆢ	yu
ㆣ	ycu
ㆤ	vkhi
ㆥ	vkhi
ㆦ	fhi
ㆧ	fhi
ㆨ	di
ㆩ	bri
ㆪ	fi
ㆫ	di
ㆬ	xnri
ㆭ	jjo
ㆮ	fhhe
ㆯ	qgu
ㆰ	bxri
ㆱ	fhxn
ㆲ	xo
ㆳ	ri
ㆴ	hi
ㆵ	hhe
ㆶ	cje
ㆷ	ca
ㆸ	hi
ㆹ	hi
ㆺ	xi
ㆻ	ycu
ㆼ	hhe
ㆽ	fhhe
ㆾ	pi
ㆿ	ma
㇀	fi
㇁	hi
㇂	hi
㇃	hi
㇄	hi
㇅	hi
㇆	hi
㇇	hi
㇈	hi
㇉	hi
㇊	hi
㇋	hi
㇌	hi
㇍	hi
㇎	hi
㇏	du
㇐	fi
㇑	ri
㇒	he
㇓	he
㇔	du
㇕	hi
㇖	hi
㇗	hi
㇘	hi
㇙	hi
㇚	hi
㇛	hi
㇜	hi
㇝	du
㇞	hi
㇟	hi
㇠	hi
㇡	hi
㇢	hi
㇣	so
㇤	hi
㇥	hi
㇯	tjjd
㈠	fi
㈡	kne
㈢	mdo
㈣	tjje
㈤	fsjo
㈥	yma
㈦	li
㈧	ma
㈨	dne
㈩	xi
㈪	le
㈫	no
㈬	gi
㈭	vu
㈮	qi
㈯	ru
㈰	jdi
㈱	vjma
㈲	vkle
㈳	ldru
㈴	dkso
㈵	jqrh
㈶	yshh
㈷	ldsj
㈸	fhmv
㈹	wlgu
㈺	shbh
㈻	fhjk
㈼	qnqr
㈽	mdke
㈾	knty
㈿	xmmm
㉀	gldo
㉁	wvu
㉂	lke
㉃	fke
㉄	mrso
㉅	qgmv
㉆	cjo
㉇	nfth
㊀	fi
㊁	kne
㊂	mdo
㊃	tjje
㊄	fsjo
㊅	yma
㊆	li
㊇	ma
㊈	dne
㊉	xi
㊊	le
㊋	no
㊌	gi
㊍	vu
㊎	qi
㊏	ru
㊐	jdi
㊑	vjma
㊒	vkle
㊓	ldru
㊔	dkso
㊕	jqrh
㊖	yshh
㊗	ldsj
㊘	fhmv
㊙	dlch
㊚	vmmv
㊛	fu
㊜	ybxv
㊝	wcll
㊞	sfbn
㊟	gdja
㊠	xrgu
㊡	wvu
㊢	hcfi
㊣	fe
㊤	la
㊥	sri
㊦	ha
㊧	vkxo
㊨	vkso
㊩	twxd
㊪	xldo
㊫	fhjk
㊬	qnqr
㊭	mdke
㊮	knty
㊯	xmmm
㊰	ywdd
㋐	hhe
㋑	we
㋒	rrhi
㋓	xo
㋔	hhe
㋕	mvi
㋖	qje
㋗	hi
㋘	nhe
